feature,mentions
customer support,312
money transfer,611
app updates,67
security,56
payment options,32
transaction process,47
cashback offers,3
app performance,31
reliability,1
user interface,14
account registration,11
app design,7
account settings,5
notifications,12
transaction fees,3
transaction limits,8
transaction history,22
card management,2
bill payments,2
account linking,4
savings features,2
data privacy,1
rewards program,1
