url,overall_score,first_contentful_paint,speed_index,largest_contentful_paint,interactive
https://fampay.in/blog/impact-of-social-distancing-on-teen-mental-health/,0.90000000,530,1536.7543922997886,1853,530
https://fampay.in/blog/tag/teens/page/3/,0.89000000,530,1636.324500278151,1900.5,530
https://fampay.in/blog/author/kaavyya/,0.93000000,530,1375.5652701269782,1611.5,530
https://fampay.in/blog/,0.91000000,530,1497.1090124813131,1780,530
https://fampay.in/blog/the-story-behind-fampays-tech-stack/,0.84000000,1471,2001.3959056949338,1872.5,1471
https://fampay.in/blog/author/suhani/,0.94000000,530,1439.340566670368,1485.5,530
https://fampay.in/blog/author/aditi/,0.92000000,530,1557.3385138444933,1667,530
https://fampay.in/blog/author/aadithyan/,0.91000000,530,1709.231608026187,1720,530
https://fampay.in/faqs,0.79000000,625,1003.3071836824817,3814.5,1677.5
https://fampay.in/blog/famstars-we-stress-less-and-accomplish-more/,0.89000000,530,1963.1234363744911,1812,530
https://fampay.in/blog/why-do-online-payments-get-stuck-and-what-can-you-do/,0.85000000,1430,1832.2193407769287,1819,1430
https://fampay.in/blog/author/fampay/page/2/,0.93000000,530,1439.3816620298244,1565.5,530
https://fampay.in/blog/author/mehak/,0.90000000,530,1543.8222454485924,1883.5,530
https://fampay.in/blog/the-journey-to-my-passion/,0.76000000,530,2289.026869015688,2970.5,728
https://fampay.in/blog/one-stop-solution-for-all-your-kyc-concerns/,0.91000000,530,1693.6604001311769,1701.5,530
https://fampay.in/blog/fampay-the-solution-to-your-cash-problems/,0.85000000,1420,1852.4341580990758,1852.5,1522
https://fampay.in/blog/author/ritwick/,0.90000000,530,1480.4637598413508,1901,530
https://fampay.in/terms,0.66000000,640,1345.6078919992844,2641,1747
https://fampay.in/blog/author/chirag-gupta/,0.91000000,530,1306.00138513256,1871,530
https://fampay.in/blog/fampay-raises-4-7m-from-y-combinator-sequoia-venture-highway-others/,0.93000000,530,1705.1666074560867,1513,530
https://fampay.in/blog/tag/lifestyle/,0.90000000,530,1534.9735700238639,1918.5,530
https://fampay.in/blog/author/hitarth/,0.91000000,530,1445.7180378017592,1845.5,530
https://fampay.in/blog/author/anshika/,0.91000000,530,1436.436322539821,1844.5,530
https://fampay.in/blog/tag/famsays/page/2/,0.80000000,530,1655.2052864415805,3210,530
https://fampay.in/blog/top-5-platforms-for-students-to-learn-new-things/,0.85000000,1433,1843.1539302637452,1788,1433
https://fampay.in/blog/creating-protecting-our-future/,0.51000000,530,2803.910489822362,5439,1054
https://fampay.in/blog/author/ayushi/,0.94000000,530,1318.07614583906,1495,530
https://fampay.in/partner,0.78000000,625,1528.8724326904216,3908,2488.5
https://fampay.in/blog/author/shifa/,0.92000000,530,1635.7184225914775,1600.5,530
https://fampay.in/blog/author/priyanka/,0.94000000,530,1389.039807317752,1492,530
https://fampay.in/about,0.75000000,625,1346.7801673216336,5523,1878.5
https://fampay.in/,0.99000000,625,931.2708271815873,665,1806
https://fampay.in/blog/author/diya/,0.91000000,530,1718.1585365153865,1627,1383
https://fampay.in/blog/author/charvi/,0.91000000,530,1553.4023702886177,1718,530
https://fampay.in/blog/from-a-self-taught-programmer-since-age-9-to-becoming-a-ceo-at-15/,0.71000000,530,2635.6382286936314,4962,530
https://fampay.in/blog/writing-content-for-a-content-saturated-generation/,0.85000000,1432,1971.141439367042,1832.5,1432
