Link,Connect Time,Wait Time,Total Time,Resource Count
https://famapp.in/,0.15643596649169922,0.08210039138793945,0.23853635787963867,76
https://famcard.me/,0.1416611671447754,0.06064105033874512,0.2023022174835205,76
https://fampay.in/,0.14155125617980957,0.10882449150085449,0.25037574768066406,76
https://fampay.in/about,0.033663272857666016,0.09684181213378906,0.13050508499145508,161
https://fampay.in/blog,0.03141427040100098,0.421628475189209,0.45304274559020996,24
https://fampay.in/blog/tag/teens/,0.0321047306060791,0.24116992950439453,0.27327466011047363,23
https://fampay.in/blog/decor-ideas-that-would-transform-your-room-at-home-or-hostel/,0.03319549560546875,0.22868633270263672,0.26188182830810547,29
https://fampay.in/blog/social-commerce-making-money-just-through-social-media/,0.0330655574798584,0.35303831100463867,0.38610386848449707,29
https://fampay.in/blog/perks-of-using-the-famcard-me/,0.031077861785888672,0.20693397521972656,0.23801183700561523,29
https://fampay.in/blog/13-boredom-busters-for-teens/,0.03139495849609375,0.15620183944702148,0.18759679794311523,29
https://fampay.in/blog/how-can-teens-open-shops-on-instagram/,0.030199289321899414,0.17100787162780762,0.20120716094970703,25
https://fampay.in/blog/author/arohi/,0.029679536819458008,0.14821624755859375,0.17789578437805176,22
https://fampay.in/blog/tag/teens/page/2/,0.0300443172454834,0.23170089721679688,0.2617452144622803,23
https://fampay.in/blog/tag/parents/,0.03095078468322754,0.19205927848815918,0.22301006317138672,23
https://fampay.in/blog/healthy-wealth-how-can-parents-have-a-healthy-discussion-about-money-with-their-children/,0.03175973892211914,0.15796899795532227,0.1897287368774414,30
https://fampay.in/blog/being-a-digital-parent-tips-to-mentor-everything-digital-that-your-teen-uses/,0.031630516052246094,0.17256617546081543,0.20419669151306152,28
https://fampay.in/blog/top-5-tips-to-communicate-better-with-your-teenager/,0.03549623489379883,0.15806317329406738,0.1935594081878662,29
https://fampay.in/blog/a-to-z-of-teenage-finance-financial-terms-every-parent-should-teach-their-teens/,0.031116485595703125,0.15088939666748047,0.1820058822631836,25
https://fampay.in/blog/cyber-bullying-what-can-you-do-as-a-parent/,0.03703808784484863,0.15692615509033203,0.19396424293518066,25
https://fampay.in/blog/4-ways-to-help-your-teen-learn-to-become-financially-responsible/,0.030594587326049805,0.15854454040527344,0.18913912773132324,26
https://fampay.in/blog/evolution-of-parenting-parent-of-a-millennial-vs-parent-of-a-genz-kid/,0.030072450637817383,0.12912869453430176,0.15920114517211914,25
https://fampay.in/blog/pocket-money-for-teenagers-why-it-matters/,0.03060436248779297,0.14996743202209473,0.1805717945098877,25
https://fampay.in/blog/things-you-must-know-as-a-teens-parent/,0.03858160972595215,0.15515947341918945,0.1937410831451416,25
https://fampay.in/blog/impact-of-social-distancing-on-teen-mental-health/,0.03467392921447754,0.1561596393585205,0.19083356857299805,25
https://fampay.in/blog/tag/parents/page/2/,0.029415130615234375,0.11156320571899414,0.14097833633422852,22
https://fampay.in/blog/tag/news/,0.029610395431518555,0.17967820167541504,0.2092885971069336,22
https://fampay.in/blog/teen-focused-fintech-startup-fampay-raises-38m-in-series-a/,0.030120372772216797,0.15074443817138672,0.18086481094360352,28
https://fampay.in/blog/fampay-is-set-to-launch-indias-first-and-biggest-digi-fest-for-teens/,0.030063867568969727,0.13535261154174805,0.16541647911071777,25
https://fampay.in/blog/zetas-fusion-to-power-fampays-cashless-payments-for-gen-z/,0.033466339111328125,0.16432666778564453,0.19779300689697266,25
https://fampay.in/blog/digital-payments-exploding-in-india-yet-the-tech-savvy-teens-still-stuck-paying-with-cash-survey-by-fampay-indias-first-neobank-for-teenagers/,0.028928279876708984,0.1679089069366455,0.1968371868133545,28
https://fampay.in/blog/this-fintech-startup-by-iit-roorkee-alum-is-giving-teenagers-financial-freedom-responsibly-yourstory/,0.029582977294921875,0.15426063537597656,0.18384361267089844,27
https://fampay.in/blog/fampay-announces-launch-of-indias-first-numberless-card/,0.029771089553833008,0.13469982147216797,0.16447091102600098,27
https://fampay.in/blog/fampay-raises-4-7m-from-y-combinator-sequoia-venture-highway-others/,0.12262153625488281,0.17722034454345703,0.29984188079833984,25
https://fampay.in/blog/tag/famsays/,0.030581951141357422,0.19879508018493652,0.22937703132629395,23
https://fampay.in/blog/a-practical-guide-to-app-store-optimization/,0.14317703247070312,0.20679140090942383,0.34996843338012695,28
https://fampay.in/blog/author/garvita/,0.029333829879760742,0.1477973461151123,0.17713117599487305,22
https://fampay.in/blog/365-days-of-internship-at-fampay/,0.028530597686767578,0.24405384063720703,0.2725844383239746,27
https://fampay.in/blog/how-instagram-reel-can-really-grow-your-brand/,0.14899110794067383,0.16333961486816406,0.3123307228088379,29
https://fampay.in/blog/author/suhani/,0.03113245964050293,0.25438380241394043,0.28551626205444336,22
https://fampay.in/blog/config-variables-changing-system-behaviour-live-in-production/,0.03162884712219238,0.1560962200164795,0.18772506713867188,27
https://fampay.in/blog/author/sameeran/,0.030577421188354492,0.11899924278259277,0.14957666397094727,22
https://fampay.in/blog/a-marketers-guide-to-moment-marketing/,0.0339052677154541,0.1390538215637207,0.1729590892791748,34
https://fampay.in/blog/author/priyanka/,0.03071761131286621,0.11278963088989258,0.1435072422027588,22
https://fampay.in/blog/the-story-behind-fampays-tech-stack/,0.0315859317779541,0.1384444236755371,0.1700303554534912,27
https://fampay.in/blog/famstars-we-stress-less-and-accomplish-more/,0.03109598159790039,0.1435990333557129,0.17469501495361328,26
https://fampay.in/blog/author/saipremtelkar/,0.03049945831298828,0.11102747917175293,0.1415269374847412,22
