reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
d0ec287b-1705-4cab-b139-deb080a934a8,Pavitra Pandey,https://play-lh.googleusercontent.com/a/AGNmyxbW-wIjBaRZMP4MSlxSF4PBwKcGj06p3fpTKvA8=mo,Baar app,4,0,2.0.76,2023-04-23 11:22:19,,
f9901e7d-f94a-4c12-ab53-74d27fa3491d,King Quine,https://play-lh.googleusercontent.com/a/AGNmyxYAHjENqDIL6rP4PhSkarw_y_Q4ZM_9YP0RyzXb=mo,Junio is good but send money option is not there,4,0,2.0.76,2023-04-22 12:43:21,,
040a198c-01e2-42a1-9825-34dd7d21b5af,Vihan vivek Singh,https://play-lh.googleusercontent.com/a/AGNmyxYyo0_W6KsZz8v99HRSXeXCiws2IG7Q_I12NHsE=mo,Best app for kids. But pplz add option of send money,4,1,2.0.72,2023-04-15 15:47:06,,
800d823a-4a81-46ee-8504-4362f8718c10,KUMMARI Padma,https://play-lh.googleusercontent.com/a/AGNmyxZe8tW7ZYwehzU1P9Xw3VDjcJYFzyXq_jPu_O1k=mo,Also make UPI payment bro,4,1,2.0.6,2023-04-14 10:02:24,,
9ad60782-1bde-41b7-9f57-cf51e983a618,Nandan Kumar c,https://play-lh.googleusercontent.com/a/AGNmyxbN4nbLbjeOL_nAs6H6tbAytTcvnCgMFvo_9ME5=mo,Best app,4,0,2.0.76,2023-04-13 16:06:05,,
6467e965-5157-4738-84c2-1f808bb2b51a,Kavya,https://play-lh.googleusercontent.com/a-/ACB-R5RVpPZao-HsAm0liIJqkyBCKxopxQvn9FzjMcU0mg,It is good and best app but in every shop their is no swipe machine so please add scanner also Thank you,4,0,2.0.76,2023-04-09 12:03:08,,
6e63e919-6576-46c3-a756-2708a9bda191,MOHIT KUMAR .11,https://play-lh.googleusercontent.com/a-/ACB-R5SiFu3fqKUxM7tJ0wnuitRUK1cqMk6KZ30x1nkJ,"Great application to earn money by just giving attendence, easy to use, but there were a lot of Lag in the application, Please fix it as early as you can.",4,0,2.0.76,2023-04-06 08:31:43,,
995eefc2-196a-4979-b762-557e80a20495,Rakshit Beauty world,https://play-lh.googleusercontent.com/a-/ACB-R5SaVPr5rLaYaZ4WDOhiOcAE29TyJovTgP54vN8l2Q,it is helpfull but task see late,4,0,,2023-04-04 20:53:14,,
75cc2be9-f03d-4715-9a5a-84f0fe116373,ROHIT GAMER,https://play-lh.googleusercontent.com/a-/ACB-R5T8l3ss4NwPy87TKi9855Oqy9mpk9FNUYc27hd9cA,Nice apo,4,0,2.0.76,2023-04-04 16:25:59,,
118d9668-6e78-4aca-bcd7-9b0ba7d4334a,Somm,https://play-lh.googleusercontent.com/a-/ACB-R5RrWooDQ-fXYIeZ1cLY7C-JtrtM5INaXq5Hnt1a,Hello! I've been using junio for a few days and it works pretty good. I just would like to suggest if you guys can add something like a scan to pay or an online payment option. That would really help!,4,23,2.0.76,2023-04-01 18:22:36,,
